leadtime,number,time,tprate
5,5,2011-02-01,3.0399641748738424
5,5,2012-02-01,3.2027159621695604
5,5,2013-02-01,3.240176222230853
5,5,2014-02-01,4.009179848461519
5,5,2015-02-01,4.275011919268158
5,5,2016-02-01,3.7970947046972925
5,6,1982-02-01,3.0344449695338933
5,6,1983-02-01,3.261224223035219
5,6,1984-02-01,2.5923998747581054
5,6,1985-02-01,1.7347227690924214
5,6,1986-02-01,3.871125365986655
5,6,1987-02-01,4.107592924478705
5,6,1988-02-01,2.768466239243902
5,6,1989-02-01,3.19235918662193
5,6,1990-02-01,1.4850288991968574
5,6,1991-02-01,0.9087156489557765
5,6,1992-02-01,4.703666410192225
5,6,1993-02-01,2.8350470079021375
5,6,1994-02-01,2.8174624940623643
5,6,1995-02-01,2.4757366190891115
5,6,1996-02-01,1.2602674576541817
5,6,1997-02-01,1.3358005538362374
5,6,1998-02-01,2.4198264766561106
5,6,1999-02-01,2.4760131857367473
5,6,2000-02-01,2.8075056758466435
5,6,2001-02-01,2.0645098575124177
5,6,2002-02-01,2.467018893182505
5,6,2003-02-01,3.159971437163828
5,6,2004-02-01,3.1863674687666275
5,6,2005-02-01,3.7347547547744955
5,6,2006-02-01,3.0746214815031148
5,6,2007-02-01,4.4390833741832525
5,6,2008-02-01,1.373949164508685
5,6,2009-02-01,1.9232330242845226
5,6,2010-02-01,2.5789564510557805
5,6,2011-02-01,2.510174169664626
5,6,2012-02-01,1.6554745586182882
5,6,2013-02-01,2.155650683129671
5,6,2014-02-01,2.060273955218675
5,6,2015-02-01,2.0243426366376456
5,6,2016-02-01,1.591751907688059
5,7,1982-02-01,3.4056336818544546
5,7,1983-02-01,2.4455265067502947
5,7,1984-02-01,3.452266071620908
5,7,1985-02-01,1.6557646772775851
5,7,1986-02-01,1.855492923872544
5,7,1987-02-01,1.490298179523151
5,7,1988-02-01,1.4971747976997685
5,7,1989-02-01,0.8445074353133675
5,7,1990-02-01,3.583301192884327
5,7,1991-02-01,4.081941705135441
5,7,1992-02-01,2.2013100065161244
5,7,1993-02-01,2.9158400426518947
5,7,1994-02-01,2.1661007462363533
5,7,1995-02-01,4.367428351491468
5,7,1996-02-01,2.255916034239765
5,7,1997-02-01,2.841862994237305
5,7,1998-02-01,1.961240783745002
5,7,1999-02-01,3.155398108497717
5,7,2000-02-01,3.1552356658601615
5,7,2001-02-01,2.3100735576960165
5,7,2002-02-01,3.0165018318111168
5,7,2003-02-01,1.4065615628697332
5,7,2004-02-01,2.3840512762859176
5,7,2005-02-01,2.026761892672601
5,7,2006-02-01,1.116343412727854
5,7,2007-02-01,1.6600965225361417
5,7,2008-02-01,4.080749074319627
5,7,2009-02-01,2.3421971315062895
5,7,2010-02-01,1.0478176986839391
5,7,2011-02-01,1.197319078970553
5,7,2012-02-01,4.633179865542439
5,7,2013-02-01,2.7368566448217404
5,7,2014-02-01,0.8209036565141743
5,7,2015-02-01,3.0194968665324757
5,7,2016-02-01,2.1153549740950695
5,8,1982-02-01,4.460486105445372
5,8,1983-02-01,1.7029816709190724
5,8,1984-02-01,0.7798447129481629
5,8,1985-02-01,1.4073247880297521
5,8,1986-02-01,1.796460340975814
5,8,1987-02-01,2.5894757183661175
5,8,1988-02-01,3.5985727446972846
5,8,1989-02-01,3.322088334611253
5,8,1990-02-01,2.4358821562479607
5,8,1991-02-01,2.933726815547159
5,8,1992-02-01,1.7424646085200934
5,8,1993-02-01,2.661681673665811
5,8,1994-02-01,2.989171260115421
5,8,1995-02-01,2.836434907439138
5,8,1996-02-01,2.683112588431029
5,8,1997-02-01,2.2476305548650246
5,8,1998-02-01,4.72425800033884
5,8,1999-02-01,2.4122834226950003
5,8,2000-02-01,2.224746035129197
5,8,2001-02-01,3.030586842015064
5,8,2002-02-01,3.1143883496732543
5,8,2003-02-01,2.7486770040933806
5,8,2004-02-01,2.593221957538586
5,8,2005-02-01,1.7781870861319808
5,8,2006-02-01,2.2413605104582714
5,8,2007-02-01,2.4565166994197023
5,8,2008-02-01,2.2449403891323043
5,8,2009-02-01,3.078272823297323
5,8,2010-02-01,1.949155527707123
5,8,2011-02-01,2.3279376388604756
5,8,2012-02-01,2.3938952602826147
5,8,2013-02-01,2.49150098370807
5,8,2014-02-01,2.295214652025388
5,8,2015-02-01,2.979471569350991
5,8,2016-02-01,3.9225095565685284
5,9,1982-02-01,2.990037850131777
5,9,1983-02-01,1.8090048395909082
5,9,1984-02-01,0.43625714781022507
5,9,1985-02-01,2.2980952285033043
5,9,1986-02-01,1.478828884336644
5,9,1987-02-01,2.840058922628123
5,9,1988-02-01,4.694548954755866
5,9,1989-02-01,1.6443572461521208
5,9,1990-02-01,2.8619250585203044
5,9,1991-02-01,2.2819389544232935
5,9,1992-02-01,3.430253261002205
5,9,1993-02-01,2.1108142921526922
5,9,1994-02-01,2.74348311749117
5,9,1995-02-01,0.43578851547497843
5,9,1996-02-01,3.2391685683991525
5,9,1997-02-01,2.28967457169049
5,9,1998-02-01,2.0564652036940054
5,9,1999-02-01,3.377634854814096
5,9,2000-02-01,2.211823762652399
5,9,2001-02-01,2.769777614156736
5,9,2002-02-01,1.4276847333892695
5,9,2003-02-01,3.796616367337204
5,9,2004-02-01,2.5928399632553063
5,9,2005-02-01,3.2085720680244507
5,9,2006-02-01,2.580104433634533
5,9,2007-02-01,0.8965182772362695
5,9,2008-02-01,1.6210523961735948
5,9,2009-02-01,3.418793221179064
5,9,2010-02-01,2.841905143462276
5,9,2011-02-01,1.0574714740408853
5,9,2012-02-01,0.6921011189562513
5,9,2013-02-01,2.7432980365643767
5,9,2014-02-01,1.9787045117744444
5,9,2015-02-01,1.7501938421267713
5,9,2016-02-01,2.669871914728616
5,10,1982-02-01,3.9832430137091506
5,10,1983-02-01,2.860711636316743
5,10,1984-02-01,3.030435178674057
5,10,1985-02-01,3.4038947944228877
5,10,1986-02-01,4.016298684917768
5,10,1987-02-01,0.9662493470449705
5,10,1988-02-01,4.545139068197607
5,10,1989-02-01,3.450770974271473
5,10,1990-02-01,1.3227221377582872
5,10,1991-02-01,3.7278473954746727
5,10,1992-02-01,1.586629812921029
5,10,1993-02-01,3.6283173235041715
5,10,1994-02-01,2.7131176944022264
5,10,1995-02-01,1.8771880763637343
5,10,1996-02-01,1.5127351183963307
5,10,1997-02-01,1.385887764206953
5,10,1998-02-01,3.5535066946017113
5,10,1999-02-01,2.7314586249972317
5,10,2000-02-01,3.17162965126706
5,10,2001-02-01,2.29702211468799
5,10,2002-02-01,4.961746873486319
5,10,2003-02-01,3.6213439466696467
5,10,2004-02-01,2.4886066667724442
5,10,2005-02-01,5.459923678662283
5,10,2006-02-01,2.206422198942338
5,10,2007-02-01,2.013777927467656
5,10,2008-02-01,2.4194913188020526
5,10,2009-02-01,1.9861555144549659
5,10,2010-02-01,3.013572431600079
5,10,2011-02-01,1.6496526282068429
5,10,2012-02-01,2.16636563410568
5,10,2013-02-01,4.59077418289384
5,10,2014-02-01,1.3770789213731454
5,10,2015-02-01,3.6689414193690015
5,10,2016-02-01,1.7646037762099946
5,11,1982-02-01,3.81421431020099
